"Date","total.foreign.sim"
"2018-12-08",69
"2018-12-09",38
"2018-12-10",16
"2018-12-11",31
"2018-12-12",17
"2018-12-13",20
"2018-12-14",27
"2018-12-15",43
"2018-12-16",21
"2018-12-17",28
"2018-12-18",23
"2018-12-19",18
"2018-12-20",51
"2018-12-21",42
"2018-12-22",96
"2018-12-23",60
"2018-12-24",77
"2018-12-25",37
"2018-12-26",42
"2018-12-27",52
"2018-12-28",124
"2018-12-29",161
"2018-12-30",161
"2018-12-31",205
"2019-01-01",76
"2019-01-02",104
"2019-01-03",107
"2019-01-04",101
"2019-01-05",89
"2019-01-06",63
"2019-01-07",44
"2019-01-08",24
"2019-01-09",26
"2019-01-10",49
"2019-01-11",61
"2019-01-12",66
"2019-01-13",44
"2019-01-14",46
"2019-01-15",44
"2019-01-16",26
"2019-01-17",29
"2019-01-18",43
"2019-01-19",43
"2019-01-20",32
"2019-01-21",16
"2019-01-22",23
"2019-01-23",24
"2019-01-24",30
"2019-01-25",46
"2019-01-26",79
"2019-01-27",43
"2019-01-28",37
"2019-01-29",42
"2019-01-30",16
"2019-01-31",21
"2019-02-01",21
"2019-02-02",66
"2019-02-03",22
"2019-02-04",39
"2019-02-05",34
"2019-02-06",47
"2019-02-07",41
"2019-02-08",73
"2019-02-09",88
"2019-02-10",43
"2019-02-11",49
"2019-02-12",53
"2019-02-13",37
"2019-02-14",37
"2019-02-15",72
"2019-02-16",75
"2019-02-17",36
"2019-02-18",41
"2019-02-19",26
"2019-02-20",51
"2019-02-21",66
"2019-02-22",107
"2019-02-23",63
"2019-02-24",72
"2019-02-25",54
"2019-02-26",79
"2019-02-27",55
"2019-02-28",60
"2019-03-01",78
"2019-03-02",119
"2019-03-03",79
"2019-03-04",36
"2019-03-05",44
"2019-03-06",42
"2019-03-07",55
"2019-03-08",83
"2019-03-09",122
"2019-03-10",81
"2019-03-11",35
"2019-03-12",60
"2019-03-13",59
"2019-03-14",60
"2019-03-15",96
"2019-03-16",123
"2019-03-17",82
"2019-03-18",68
"2019-03-19",54
"2019-03-20",52
"2019-03-21",54
"2019-03-22",91
"2019-03-23",121
"2019-03-24",85
"2019-03-25",62
"2019-03-26",56
"2019-03-27",51
"2019-03-28",51
"2019-03-29",94
"2019-03-30",136
"2019-03-31",125
"2019-04-01",79
"2019-04-02",46
"2019-04-03",27
"2019-04-04",33
"2019-04-05",83
"2019-04-06",119
"2019-04-07",76
"2019-04-08",92
"2019-04-09",95
"2019-04-10",90
"2019-04-11",55
"2019-04-12",103
"2019-04-13",118
"2019-04-14",66
"2019-04-15",122
"2019-04-16",98
"2019-04-17",117
"2019-04-18",119
"2019-04-19",208
"2019-04-20",268
"2019-04-21",248
"2019-04-22",156
"2019-04-23",68
"2019-04-24",80
"2019-04-25",95
"2019-04-26",102
"2019-04-27",158
"2019-04-28",112
"2019-04-29",59
"2019-04-30",70
"2019-05-01",88
"2019-05-02",75
"2019-05-03",97
"2019-05-04",128
"2019-05-05",67
"2019-05-06",70
"2019-05-07",78
"2019-05-08",25
"2019-05-09",83
"2019-05-10",77
"2019-05-11",78
"2019-05-12",65
"2019-05-13",68
"2019-05-14",56
"2019-05-15",54
"2019-05-16",58
"2019-05-17",53
"2019-05-18",75
"2019-05-19",56
"2019-05-20",46
"2019-05-21",66
"2019-05-22",70
"2019-05-23",83
"2019-05-24",126
"2019-05-25",99
"2019-05-26",95
"2019-05-27",49
"2019-05-28",53
"2019-05-29",79
"2019-05-30",138
"2019-05-31",136
"2019-06-01",148
"2019-06-02",106
"2019-06-03",86
"2019-06-04",58
"2019-06-05",66
"2019-06-06",111
"2019-06-07",118
"2019-06-08",171
"2019-06-09",140
"2019-06-10",128
"2019-06-11",107
"2019-06-12",110
"2019-06-13",115
"2019-06-14",105
"2019-06-15",123
"2019-06-16",103
"2019-06-17",94
"2019-06-18",82
"2019-06-19",97
"2019-06-20",110
"2019-06-21",139
"2019-06-22",110
"2019-06-23",122
"2019-06-24",80
"2019-06-25",90
"2019-06-26",59
"2019-06-27",56
"2019-06-28",71
"2019-06-29",125
"2019-06-30",101
"2019-07-01",76
"2019-07-02",96
"2019-07-03",76
"2019-07-04",107
"2019-07-05",95
"2019-07-06",113
"2019-07-07",93
"2019-07-08",108
"2019-07-09",97
"2019-07-10",120
"2019-07-11",117
"2019-07-12",100
"2019-07-13",160
"2019-07-14",140
"2019-07-15",112
"2019-07-16",113
"2019-07-17",117
"2019-07-18",97
"2019-07-19",127
"2019-07-20",119
"2019-07-21",118
"2019-07-22",110
"2019-07-23",100
"2019-07-24",86
"2019-07-25",88
"2019-07-26",103
"2019-07-27",142
"2019-07-28",126
"2019-07-29",98
"2019-07-30",106
"2019-07-31",119
"2019-08-01",121
"2019-08-02",136
"2019-08-03",165
"2019-08-04",123
"2019-08-05",108
"2019-08-06",108
"2019-08-07",127
"2019-08-08",146
"2019-08-09",95
"2019-08-10",156
"2019-08-11",134
"2019-08-12",126
"2019-08-13",121
"2019-08-14",161
"2019-08-15",125
"2019-08-16",64
"2019-08-17",187
"2019-08-18",119
"2019-08-19",126
"2019-08-20",127
"2019-08-21",76
"2019-08-22",91
"2019-08-23",141
"2019-08-24",141
"2019-08-25",114
"2019-08-26",81
"2019-08-27",94
"2019-08-28",97
"2019-08-29",99
"2019-08-30",115
"2019-08-31",104
"2019-09-01",104
"2019-09-02",101
"2019-09-03",68
"2019-09-04",86
"2019-09-05",78
"2019-09-06",97
"2019-09-07",128
"2019-09-08",84
"2019-09-09",96
"2019-09-10",85
"2019-09-11",74
"2019-09-12",84
"2019-09-13",101
"2019-09-14",113
"2019-09-15",107
"2019-09-16",91
"2019-09-17",89
"2019-09-18",87
"2019-09-19",92
"2019-09-20",127
"2019-09-21",138
"2019-09-22",82
"2019-09-23",94
"2019-09-24",87
"2019-09-25",92
"2019-09-26",73
"2019-09-27",102
"2019-09-28",125
"2019-09-29",122
"2019-09-30",87
"2019-10-01",73
"2019-10-02",78
"2019-10-03",96
"2019-10-04",100
"2019-10-05",111
"2019-10-06",96
"2019-10-07",109
"2019-10-08",95
"2019-10-09",64
"2019-10-10",127
"2019-10-11",121
"2019-10-12",158
"2019-10-13",111
"2019-10-14",98
"2019-10-15",39
"2019-10-16",78
"2019-10-17",91
"2019-10-18",39
"2019-10-23",1
"2019-10-25",2
"2019-10-30",2
